Thickness,FRT,CT,% TCM Reduc,Cold Spot,Control Heating Time,Soaking Time,SPM Elongation,% Carbon,% Mn,%SI,%NB,%TI,YS (Mpa),,,,
0.7,914.66,699.37,81.88,660,428,848,0.3,0.0021,0.08,0.006,0.001,0.07,163,,,,
0.7,915.54,698.07,81.88,660,428,848,0.3,0.0031,0.13,0.008,0.001,0.07,165,,,,
0.8,914,699.19,79.38,660,426,900,0.3,0.0024,0.07,0.006,0.001,0.0649,169,,,,
0.8,919.72,699.73,79.38,660,426,779,0.3,0.0023,0.08,0.005,0.001,0.078,177,,,,
0.7,918.75,698.24,81.88,660,424,840,0.3,0.0023,0.07,0.005,0.001,0.067,168,,,,
0.7,921.86,701.3,81.88,660,427,810,0.3,0.0024,0.07,0.0049,0.001,0.074,161,,,,
0.7,918.04,700.1,81.88,660,428,808,0.3,0.0025,0.07,0.003,0.001,0.07,155,,,,
0.7,921.15,698.97,81.88,660,365,890,0.3,0.002,0.06,0.005,0.001,0.069,163,,,,
0.7,908.48,701.12,81.88,660,426,825,0.3,0.0024,0.07,0.006,0.001,0.0649,150,,,,
0.9,928.83,704.82,79.44,660,428,788,0.3,0.0023,0.07,0.005,0.001,0.067,163,,,,
0.9,918.6,703.2,79.44,660,426,900,0.3,0.002,0.06,0.005,0.001,0.069,158,,,,
0.7,915.91,700.88,81.88,660,426,810,0.3,0.0031,0.13,0.008,0.001,0.07,160,,,,
0.7,910.09,696.83,81.88,660,437,836,0.3,0.0026,0.06,0.01,0.001,0.066,178,,,,
0.9,894.12,567.05,69,670,428,1050,0.8,0.035,0.15,0.006,0.001,0.001,153,,,,
0.9,889.98,567.77,69,670,428,960,0.8,0.035,0.15,0.006,0.001,0.001,164,,,,
0.7,925.76,701.18,81.88,660,428,855,0.3,0.0027,0.05,0.008,0.001,0.065,151,,,,
0.7,912.48,701,81.88,660,428,780,0.3,0.0027,0.06,0.005,0.001,0.062,168,,,,
